Event,title,composer,code
935-Treble Chorus,Wishing Star (21991),Bolton/Farnell,
935-Treble Chorus,Hand Me Down My Silver Trumpet (16879) (2 part) (accomp),Webb,
935-Treble Chorus,Night Winds,Victor Johnson,
935-Treble Chorus,There Is No Frigate Like A Book... (from Two Poems of Emily Dickinson),Neil Ginsberg,
935-Treble Chorus,Skye Boat Song,Jay Althouse,
935-Treble Chorus,The Mending Song,Killman,
935-Treble Chorus,Petit Enfant,Shaw,
935-Treble Chorus,O Magnum Mysterium,Antongnini,
935-Treble Chorus,Petit Enfant (15383) (opt flute) (accomp),Shaw/Thompsen,
933-Tenor/Bass Chorus,Benedictus,Ruth Elaine Schram,
933-Tenor/Bass Chorus,Three Latin Songs (18500) (T(T)B)(perform number 1 or 3) (a cappella),Farnell,
933-Tenor/Bass Chorus,Colorado Trail (12713) (accomp),Anon. or Trad./Moore,
933-Tenor/Bass Chorus,Come On  Boys (16979) (TB) (accomp),Bailey,
933-Tenor/Bass Chorus,Laudate Dominum (Psalm 117),Davison,
933-Tenor/Bass Chorus,Set Me As a Seal Upon Your Heart,Farnell,
933-Tenor/Bass Chorus,Codfish Shanty (15221),Anon. or Trad./Singh,
933-Tenor/Bass Chorus,The Vagabond (17790) (TB) (opt. accomp) (accomp),Farnell,
933-Tenor/Bass Chorus,Billy  the Pirate (12639) (accomp),Christopher,
933-Tenor/Bass Chorus,Viva Tutti ,Emily Crocker,
933-Tenor/Bass Chorus,I Think My Love So Fair,Laura Farnell,
933-Tenor/Bass Chorus,The Shepherds Spiritual (12715) (TB  opt solo) (opt tambourine) (accomp),Anon. or Trad./Moore,
933-Tenor/Bass Chorus,Kyrie (16973) (TB) (accomp),Schram,
933-Tenor/Bass Chorus,Old Joe Clark,Emerson,
933-Tenor/Bass Chorus,Rosalee,Dave and Jean Perry,
933-Tenor/Bass Chorus,This Train (12642) (accomp),Anon. or Trad./Moore,
935-Treble Chorus,Antiphonal Hosanna,Smith,
935-Treble Chorus,Ive Been in the Storm So Long (22818),Traditional Spiritual/Jones,
935-Treble Chorus,A Festive Alleluia (15324) (SA ONLY) (accomp),Lightfoot,
935-Treble Chorus,The Cuckoo (12020) (w/ or w/o accomp) (SA) (a cappella),Anon. or Trad./Appleby/Fowler,
935-Treble Chorus,O Magnum Mysterium,Antognini,
935-Treble Chorus,The Book of Canons (song #6) (Music Alone Shall Live),Feierabend,
935-Treble Chorus,Come  Follow Me!, ,
935-Treble Chorus,The Rivers are Running Again,Amy Bernon/,
935-Treble Chorus,Isabel and the Bear,Andrea Ramsey,
935-Treble Chorus,Joshua Fought the Battle of Jericho,James DesJardins,
935-Treble Chorus,The Moon (17823) (SA) (accomp),Beck,
935-Treble Chorus,Shenandoah,Andrew Parr,
935-Treble Chorus,The Poet Sings (16348) (SSA) (accomp),Stroope,
935-Treble Chorus,Omnia Vincit Amor,Michael John Trotta,
935-Treble Chorus,Nine Hundred Miles (12185) (SSA) (accomp),Anon. or Trad./Miller,
935-Treble Chorus,Sing to Me ,Ramsey,
935-Treble Chorus,Pretty Saro,Goodin/Allsbrook,
935-Treble Chorus,Night Winds,Laura Farnell,
935-Treble Chorus,Two Latin American Folk Songs '1. Mi mama me aconsejaba',arr. Trinkley,
935-Treble Chorus,Ose Shalom,Leavitt,
935-Treble Chorus,And This Shall Be for Music (17825) (SA) (accomp),Lightfoot,
935-Treble Chorus,Ive Been in the Storm So Long (22818) (SA) (opt descant) (opt piano) (a cappella),Traditional Spiritual/Jones,
935-Treble Chorus,15. Going Down to Cairo (from Two-Part American Songs) (15342),Williams/,
935-Treble Chorus,Confitemini Domino ,Patti Drennan,
935-Treble Chorus,Shule Aroon,Traditional Irish Folk Song  arranged by Ruth Elaine Schram,
935-Treble Chorus,Gloria Deo! (20689) (SSA) (accomp),Johnson,
931-Mixed Chorus,Ma Navu (How Beautiful),arr. Snyder,
931-Mixed Chorus,Dies Irae,Main,
933-Tenor/Bass Chorus,On the Last Train at Midnight,Patterson,
933-Tenor/Bass Chorus,Aura Lee (12623) (accomp),Poulton/Crocker,
933-Tenor/Bass Chorus,O Sing to the Lord (22713) (TB) (opt divisi) (accomp),Davison,
933-Tenor/Bass Chorus,She Walks in Beauty (16987) (TB) (accomp),Farnell,
933-Tenor/Bass Chorus,The Open Road,Farnell,
933-Tenor/Bass Chorus,This Train,Donald Moore,
933-Tenor/Bass Chorus,Sons of Art,Crocker,
933-Tenor/Bass Chorus,Omnia Vincit Amor,Trotta,
933-Tenor/Bass Chorus,Dodi Li,Doreen Rao,
933-Tenor/Bass Chorus,Hand Me Down My Silver Trumpet,Moses,
933-Tenor/Bass Chorus,This Little Light of Mine (19554) (TB) (accomp),Snyder,
933-Tenor/Bass Chorus,A Great Big Sea,Cristi Cary Miller,
933-Tenor/Bass Chorus,Omnia Vincit Amor (20801) (TB)(accomp or accapella),Trotta,
933-Tenor/Bass Chorus,Set Me as a Seal upon Your Heart,Farnell,
935-Treble Chorus,Two Roses,Bartok/Suchoff,
935-Treble Chorus,Who Has Seen The Wind?,Patterson,
935-Treble Chorus,J'entend le Moulin ,Ruth E. Dwyer/Martin L. Ellis ,
935-Treble Chorus,Who Will Be a Witness?,Arr. Moore,
935-Treble Chorus,A Festive Alleluia,Mary Lynn Lightfoot,
935-Treble Chorus,MIdwinter Snow ,Host/Donnelly  and Strid,
935-Treble Chorus,The Skies Cant Keep Their Secret (18282) (SA) (only version allowed) (accomp),Gray,
935-Treble Chorus,Night Song (12177) (SA) (accomp),Hester,
935-Treble Chorus,Shule Aroon (22868) (SSA) (opt violin) (accomp),Traditional Irish Folk Song/Schram,
935-Treble Chorus,Sing to Me (18291) (SA) (accomp),Ramsey,
935-Treble Chorus,All the Pretty Little Horses,Artman,
935-Treble Chorus,Al Shlosha D'Varim,Naplan,
935-Treble Chorus,Antiphonal Kyrie,Susan Thrift,
935-Treble Chorus,Vidalita,Saez,
935-Treble Chorus,Spring Quiet,Crocker,
935-Treble Chorus,I Walk the Unfrequented Road,Kjelson,
935-Treble Chorus,God Be in My Head,Ramsey,
935-Treble Chorus,Festival Alleluia,Allen Pote,
935-Treble Chorus,Cantamos! (We Sing!),James DesJardins,
935-Treble Chorus,The Rivers Are Running Again,Bernon,
935-Treble Chorus,A Jubilant Gloria,Lightfoot,
935-Treble Chorus,Lunar Lullaby (19596) (SA) (accomp),Narverud,
935-Treble Chorus,This Shall be for Music (16882) (unison) (accomp),Patterson,
935-Treble Chorus,Cantate Hodie! (Sing Today),Mary Lynn Lightfoot,
935-Treble Chorus,Gloria (20800) (SA) (accomp),Trotta,
935-Treble Chorus,Gaudeamus Hodie (24252) (unison) (accomp),Rentz,
935-Treble Chorus,Who Has Seen the Wind,Patterson,
935-Treble Chorus,Morning,Gardner,
931-Mixed Chorus,Away from the Roll of the Sea (11501) (accomp),MacGillivray,
931-Mixed Chorus,Viva! (21951) (accomp),Mozart/Liebergen,
931-Mixed Chorus,Psallite,Praetorius,
931-Mixed Chorus,Plaudite Manibus (Clap Your Hands),Albrecht,
931-Mixed Chorus,Dirait-On (from Les Chansons des Roses) (11715) (SATBB) (French) (accomp),Lauridsen,
931-Mixed Chorus,If Music Be the Food of Love (18243) (SAB) (piano  flt or vln [not opt]) (accomp),Miller,
931-Mixed Chorus,Rain Has Fallen (22744) (3 part mixed) (accomp),Gray,
931-Mixed Chorus,Didnt My Lord Deliver Daniel (11248) (SAB) (accomp),Anon. or Trad./Emerson,
935-Treble Chorus,Lux Aeterna (19593) (SA)(a cappella or accomp) (a cappella),Jones,
935-Treble Chorus,God Be In My Head (17830) (SA) (accomp),Ramsey,
935-Treble Chorus,Like a Rose in the Summer,Crocker,
935-Treble Chorus,Kikkehihi (12142) (German) (SSA) (a cappella),Schein,
931-Mixed Chorus,Hashivenu,Michael Ryan,
931-Mixed Chorus,Sing Forever to the Lord,Paige,
933-Tenor/Bass Chorus,What Shall We Do With a Drunken Sailor?,Ponce,
935-Treble Chorus,Shout for Joy,Albrecht/Althouse,
935-Treble Chorus,Gloria,Trotta,
935-Treble Chorus,Autumn Vesper,Snyder,
931-Mixed Chorus,Erev shel shoshanim,Jack Klebanow,
931-Mixed Chorus,Achieved Is The Glorious Work (11710) (accomp),Haydn/Michaels,
931-Mixed Chorus,Sing Out Your Joy!,Victor C. Johnson,
933-Tenor/Bass Chorus,Omnia Vincit Amor,Michael John Trotta,
933-Tenor/Bass Chorus,The Shepherd's Spiritual,Donald Moore,
933-Tenor/Bass Chorus,Gloria in Excelsis Deo (from Gloria) (16774) (TTB) (accomp),Vivaldi/Porterfield,
933-Tenor/Bass Chorus,Dover Beach,Meredith Tompkins and Ashley Dame,
933-Tenor/Bass Chorus,Kyrie ,Fox,
935-Treble Chorus,Jazz-Man (from Friday Afternoons),Benjamin Britten,
935-Treble Chorus,O Frondens Virga,Hildegard von Bingen,
935-Treble Chorus,Come  Celebrate this Festive Day (from Three New Madrigals),Jay Althouse,
935-Treble Chorus,Lux Aeterna,Christi Jones,
935-Treble Chorus,Hello  Girls (12461) (accomp),Pfautsch,
935-Treble Chorus,Gloria,Michael John Trotta,
935-Treble Chorus,O Magmun Mysterium,Ramos,
935-Treble Chorus,Gerakina ,Leck,
935-Treble Chorus, Hear The Joy,Arcadelt/ Liebergen,
931-Mixed Chorus,Jubilate  Exsultate!,Wagner,
931-Mixed Chorus,Gloria in Excelsis Deo,Thomas,
931-Mixed Chorus,Sing a Mighty Song (22813),Gawthrop/,
931-Mixed Chorus,The Lone Wild Bird (22791) (SSAB) (a cappella),Burchard,
931-Mixed Chorus,A Psalm of Praise (11705),Eddleman/,
931-Mixed Chorus,I Will Arise (11448) (a cappella),Anon. or Trad./Shaw/Parker,
931-Mixed Chorus,I Will Lift my Voice and Sing,Johnson,
931-Mixed Chorus,Requiem Aeternam (from Mass in c minor) (11918),Cherubini/Craig/Mason,
931-Mixed Chorus,Psallite (11302) (Latin and German) (a cappella),Praetorius/Greyson/Leck,
931-Mixed Chorus,A Red  Red Rose (11729) (accomp),Mulholland/Rodby,
931-Mixed Chorus,Petite Nymphe Folastre (11645) (French) (a cappella),Jannequin/Klein,
931-Mixed Chorus,Alleluia (19588) (SATB)(Clap optional) (a cappella),Runestad,
