Event,title,composer,code
931-Mixed Chorus,Acclamation,Robert Ray,
931-Mixed Chorus,Schon is das Fest des Lenzes,Robert Schumann,
931-Mixed Chorus,Happy We,G.F. Handel,
933-Tenor/Bass Chorus,Psalm 103 (TTBB) (horn in F & piano),Mulholland,
933-Tenor/Bass Chorus,Oh Come  Ye Servants Of The Lord (TTBB),Tye/Greyson,
933-Tenor/Bass Chorus,Come to the Music (TTBB divisi) (piccolo & percussion required),Joseph M. Martin,
933-Tenor/Bass Chorus,The Awakening ,Joseph M. Martin,
935-Treble Chorus,Praise Ye the Lord (Laudate Dominum Pueri)  (Latin) (SSA),Mendelssohn/Klein,
935-Treble Chorus,Resonet in Laudibus,Z. Randall Stroope,
935-Treble Chorus,Remember My Song,Albrecht/ Althouse,
935-Treble Chorus,All Things Bright And Beautiful (piano  4 hands  opt flutes),Anon. or Trad./Mack Wilberg  ,
935-Treble Chorus,Gloria (from Mass No. 6),Gyorgy Orban,
935-Treble Chorus,Ave Maria  Gratia Plena (SSAA),Busto,
935-Treble Chorus,Holy Holy  Holy,Anon. or Trad.,
931-Mixed Chorus,See Them Dance,Crocker,
931-Mixed Chorus,Bless the Lord  O My Soul (SAB),Ippolitov-Ivanov/Eilers,
931-Mixed Chorus,All Ye  The Music Makers (From Three New Madrigals),Althouse,
931-Mixed Chorus,Lift Up Your Voice  Alleluia!,Albrecht,
933-Tenor/Bass Chorus,Go Lovely Rose,Rentz,
933-Tenor/Bass Chorus,Gloria,Jerry Estes,
933-Tenor/Bass Chorus,O Sacred Head  Now Wounded ,Hoelty/Nickel,
935-Treble Chorus,Praise Evermore,Mozart  arr. Ehret,
935-Treble Chorus,Sing A Song of Sixpence,Nursery Rhyme,
935-Treble Chorus,Hine ma tov,Henry Leck,
935-Treble Chorus,Old Joe Clark,Anon. or Trad./Goetze  ,
931-Mixed Chorus,Sing Alleluia  Sing Praise (SSAB),McPheeters,
931-Mixed Chorus,Touro-louro-louro!,Parker/Shaw,
931-Mixed Chorus,Ye Followers of the Lamb (SSAATB),Anon. or Trad./Ferguson  ,
933-Tenor/Bass Chorus,Avenging and Bright ,Anon. or Trad./Parker,
935-Treble Chorus,O Music  Thou Most Lovely Art (Musika  dein ganz lieblich Kunst)  (German),Jeep/Harris,
935-Treble Chorus,I Will Praise Thee  O Lord (SA),LaLande/Hines  ,
935-Treble Chorus,Fare Thee Well Enniskillen (solo),Anon. or Trad./McDowell  ,
935-Treble Chorus,Alleluia (SSA),Purcell/Grundahl  ,
935-Treble Chorus,If You Were Coming in the Fall (SSA),Butler,
935-Treble Chorus, A Choral Flourish,Spevacek,
931-Mixed Chorus,O Vos Omnes,Estes ,
931-Mixed Chorus,Sing to the Lord (SAB), ,
933-Tenor/Bass Chorus,The Old Brass Wagon (TTB),Anon. or Trad./Crocker  ,
933-Tenor/Bass Chorus,Da Unten Im Tale,arr. Barry Talley,
935-Treble Chorus,Cirandeiro (Join in the Dance),Brad Green,
935-Treble Chorus,Sure on This Shining Night,Barber/Crocker,
935-Treble Chorus,Let Me Fly (SA divisi),Anon. or Trad./Miller  ,
935-Treble Chorus,Ye Sons and Daughters of the King (from Six Songs For SA) ,Anon. or Trad./Bissell  ,
935-Treble Chorus,'Sing a New Song',Scott,
935-Treble Chorus,Song of The River,arr. Patterson,
935-Treble Chorus,Dona  Dona,Secunda/Dwyer  ,
935-Treble Chorus,Yonder Come Day,Judith Tucker,
935-Treble Chorus,All Join Hands ,Anon. or Trad./Crocker,
931-Mixed Chorus,Allon  Gay Bergeres,Costeley/Parker Shaw,
931-Mixed Chorus,Come Again  Sweet Love (SAB),Printz,
931-Mixed Chorus,Ziegeunerleben,Schuman,
931-Mixed Chorus,Gloria,Corteccia/Snyder,
931-Mixed Chorus,Let the Whole Earth Stand in Awe (SAB) (keyboard)/hines/co,Handel/Hines/CoMichaels/HL,
931-Mixed Chorus,Benedicamus Domino (Latin) (SATB divisi),Warlock ,
931-Mixed Chorus,Hodie Christus Natus Est (SSATBB double chorus),Quintana,
931-Mixed Chorus,Break Forth  O Beauteous  Heavenly Light,Bach,
933-Tenor/Bass Chorus,My Heart's in the Highlands,Beery,
933-Tenor/Bass Chorus,Island (from Two Swedish Folk Songs) (TTBB),Anon. or Trad./Lindstrom,
935-Treble Chorus,Gang zur Liebsten (German),Brahms/Sprague,
935-Treble Chorus,Liebe Schwalbe,Brahms/Tillinghast,
935-Treble Chorus,Adoramus Te,Di Lasso/Avalos,
931-Mixed Chorus,Haliwa-Saponi Canoe Song (2 part mixed  solo opt) (percussion & flute),Anon. or Trad./Burton  ,
933-Tenor/Bass Chorus,Guantanamera,arr. by Higgins,
933-Tenor/Bass Chorus,I Am Bound for the Promised Land (TB),Anon. or Trad./DeWitt  ,
933-Tenor/Bass Chorus,Jenny Kiss'd Me (TB),Williamson,
933-Tenor/Bass Chorus,Drill Ye Tarriers ,Casey/Crocker,
935-Treble Chorus,She Sings...,Bernon,
935-Treble Chorus,Cradle Hymn,Arr. Brumfield,
935-Treble Chorus,Spring,Anon. or Trad./Porterfield  ,
935-Treble Chorus,Il Etait une Bergere,arr. Evelyn Emerson,
931-Mixed Chorus,Oh Lord In Thee Have I Trusted,Handel/Malin,
931-Mixed Chorus,La mi sola  Laureola,Ponce,
931-Mixed Chorus,Adoramus Te (Latin),Clement,
931-Mixed Chorus,Missa Brevis in D (Latin) (keyboard; continuo opt),Pachelbel,
931-Mixed Chorus,Roses I Send To You (No. 4 from Songs of a Prospector) ,Chatman,
933-Tenor/Bass Chorus,Gaudeamus,Anonymous,
935-Treble Chorus,A Good and Patient Shepherd (Surrexit Pastor Bonus),Mendelssohn,
935-Treble Chorus,All That Hath Life and Breath Praise Ye the Lord! (sop solo),Clausen/Weiler  ,
935-Treble Chorus,O Occhi Manza Mia,Arr. by Russell Robinson,
935-Treble Chorus,Loveliest of Trees (SSA) (piano & violoncello obligato),Butler,
935-Treble Chorus,Las Mananitas,Ebel-Sabo,
935-Treble Chorus,Ave Maria (Latin) (SSAA double choir),Holst/Rutter,
935-Treble Chorus,Wir eilen mit schwachen  doch emsigen Schritten (German) (SA),Bach,
933-Tenor/Bass Chorus,My Bonny Lass She Smileth,Thomas Morley/Carol Kelley,
935-Treble Chorus,Gloria (from Gloria and Alleluia,Schram,
935-Treble Chorus,Sing with Pleasure,Handel/ Leibergen,
933-Tenor/Bass Chorus,#15 Rocky Mountain (from Two-Part American Songs Book Two) (2 part),Williams,
935-Treble Chorus,The Drinking Gourd,Anon. or Trad./Thomas  ,
935-Treble Chorus,Now is the Month of Maying,Thomas Morley/Don Malin,
931-Mixed Chorus,Angelus ad pastores (Latin),Hassler,
935-Treble Chorus,Now Sleeps the Crimson Petal ,Anon. or Trad./Wagner  ,
935-Treble Chorus,Tristis est anima mea (from Two Motets) (Latin) ,Martini/McCray  ,
935-Treble Chorus,The Rain ,Land,
935-Treble Chorus,Watane,Sirett,
935-Treble Chorus,Let Us Praise the Lord (flute or oboe or recorder  hand drum),Pfautsch,
935-Treble Chorus,Ave Maria (SSA opt divisi  solo or opt descant),Head,
933-Tenor/Bass Chorus,Da unten im Tale,Brahms / Talley ,
933-Tenor/Bass Chorus,God Bless Our Country ,Riley,
935-Treble Chorus,Who Can Sail?,Agnestig,
935-Treble Chorus,Ave Verum Corpus , Mozart / Robinson ,
935-Treble Chorus,Give Thanks and Praise,Handell/Kihlken,
935-Treble Chorus,En Roulant ma Boule,Christi Cary Miller,
935-Treble Chorus,O Give Thanks (2 part),Rogers,
931-Mixed Chorus,Whatever God Ordains is Right,Bach,
935-Treble Chorus,Talli's Canyon,Applyby/Fowler,
931-Mixed Chorus,O Love Divine (SAB) (keyboard),Marcello/Wagner,
933-Tenor/Bass Chorus,At the Foot of Yonder Mountain,Rentz,
933-Tenor/Bass Chorus,Early One Morning ,Anon. or Trad./Follett,
935-Treble Chorus,The Silence and The Song,Mark Patterson,
935-Treble Chorus,Cirandeiro ,Trad./Green,
935-Treble Chorus,Haida ,Trad./McRae  ,
935-Treble Chorus,What Do The Stars Do ?,Sherri Porterfield,
935-Treble Chorus,Lord Jesus Christ Be Present Now,Emily Crocker,
931-Mixed Chorus,Salseo,Galian,
931-Mixed Chorus,Paratum Cor Ejus (Latin) (double chorus) (continuo),Vivaldi/McEwen  ,
931-Mixed Chorus,The Pasture,Z. Randall Stroope,
931-Mixed Chorus,O Magnum Mysterium ,Victoria,
931-Mixed Chorus,The Lord is My Shepherd,Allen Pote,
931-Mixed Chorus,Hear the Joy,Arcadelt/Liebergen,
933-Tenor/Bass Chorus,Widerspruch (German),Schubert/Shaw/Parker  ,
935-Treble Chorus,El Nino Divino Nace (Spanish) ,Santa Cruz,
935-Treble Chorus,Echoing Green,Crocker,
931-Mixed Chorus,Old Dan Tucker,Emmett/Ginsberg,
933-Tenor/Bass Chorus,Pretty Saro,Scoggin,
933-Tenor/Bass Chorus,Across the Western Ocean (from  undefined,Dougherty,
933-Tenor/Bass Chorus,Chester (TBB),Anon. or Trad./Follett,
933-Tenor/Bass Chorus,Tallis' Canon,Thomas Tallis,
933-Tenor/Bass Chorus,Children  Go Where I Send Thee,Crocker,
933-Tenor/Bass Chorus,Time To Port (from Three Sea Chanteys,Juneau,
935-Treble Chorus,Non Nobis Domine,Bartle,
935-Treble Chorus,Spring (SA),Elizabeth Radloff Gove,
935-Treble Chorus,I Will Sing My Song,Anon. or Trad./Wagner  ,
933-Tenor/Bass Chorus,My Gal Sal ,Anon. or Trad./Follett,
933-Tenor/Bass Chorus,Begone  Dull Care!,Rentz,
935-Treble Chorus,Nachtviolen,Porterfield,
931-Mixed Chorus,Salvator mundi (SAATB) (Latin) (a cappella),Tallis/Brown  ,
933-Tenor/Bass Chorus,How Can I Keep From Singing (TTBB),Anon. or Trad./Herrington  ,
933-Tenor/Bass Chorus,Down in the Valley (TTB),Anon. or Trad./Spevacek,
935-Treble Chorus,Kyrie Eleison (from Mass for Three Voices) (SSA),Durante/Harris  ,
935-Treble Chorus,Agnus Dei (from Mass for Three Voices) ,Durante/Harris  ,
935-Treble Chorus,Savory  Sage  Rosemary and Thyme (SSAA) (opt percussion),Anon. or Trad./Patriquin  ,
935-Treble Chorus,Wer die Musik sich erkiest (Those Who Choose Music) (SSA),Jeffers,
935-Treble Chorus,Il Mio Martir,Monteverdi/Yakkey,
933-Tenor/Bass Chorus,Come Sail Away With Me (from Two Unison Songs for Male Chorus),Patterson,
935-Treble Chorus,Oh  Soldier  Soldier (SA),Crocker,
931-Mixed Chorus,Alleluia,Leibergen,
931-Mixed Chorus,Agnus Dei (Latin),Porterfield,
933-Tenor/Bass Chorus,Children Go Where I Send Thee ,Anon. or Trad./Crocker,
935-Treble Chorus,The Lass from the Low Countree  ,Niles/Sheppard   ,
931-Mixed Chorus,Ave Verum (SATB),Saint-Sains,
931-Mixed Chorus,Let All the Nations Praise the Lord,Volckmar Leisring,
933-Tenor/Bass Chorus,Annie Laurie (TTB),Anon. or Trad./Scott/Johnson,
933-Tenor/Bass Chorus,Kyrie ,Krunnfusz,
933-Tenor/Bass Chorus,Vive L'amour,arr. Charles Follett,
935-Treble Chorus,Hitori ,Anon./Trad. Donnelly & Strid,
935-Treble Chorus,Johnny Said  'No!',Singh,
935-Treble Chorus,Kyrie Eleison (Latin) (SSAA),Leininger,
935-Treble Chorus,Benedictus,Brian Lewis,
931-Mixed Chorus,Gloria (from Heiligmesse) (Latin),Haydn/Woodman,
931-Mixed Chorus,Come to Me  My Love ,Dello Joio,
931-Mixed Chorus,Come  Jesus  Holy Son Of God,Hopson,
933-Tenor/Bass Chorus,Bound for the Promised Land ,Crocker,
935-Treble Chorus,Gloria (from Messe Breve) (SA) (opt string orchestra),Delibes/Krunnfusz  ,
935-Treble Chorus,My Heart is Offered Still to You,di Lasso/Harris,
935-Treble Chorus,Gloria Fanfare (use opt accomp),Farnell,
931-Mixed Chorus,Petite Nymphe Folastre (French),Jannequin/Klein,
931-Mixed Chorus,If Music be the Food of Love,Dickau,
931-Mixed Chorus,Go  Lovely Rose (SATB),Whitacre,
931-Mixed Chorus,Il est Bel et Bon (French),Passereau/Faure,
931-Mixed Chorus,Gloria in excelsis deo,Weelkes  Thomas,
933-Tenor/Bass Chorus,Salvation is Created ,Tschesnokoff/Norden,
933-Tenor/Bass Chorus,The Trumpeter,Dix/Lawrence,
933-Tenor/Bass Chorus,Betelehemu,Anon. or Trad. arr. Whalum,
935-Treble Chorus,3. Mittagsruhe (from Maitag  Op. 64) (SSA),Rheinberger,
935-Treble Chorus,Cantate Domino,Schutz/ed. Grundahl,
935-Treble Chorus,Sanctus from the Missa Hosanna,Goemanne,
935-Treble Chorus,Kyrie,Jeffers  Ron,
931-Mixed Chorus,Je le vous dirai!,Certon/Hirt,
933-Tenor/Bass Chorus,Who Threw The Overalls In Missus Murphy's Chowder? ,Anon. or Trad./Follett,
933-Tenor/Bass Chorus,Aura Lee,Arr. Cain,
935-Treble Chorus,Der Wanderer an den Mond (The Wanderer Speaks to the Moon)  (German or English) (unison) ,Schubert,
935-Treble Chorus,Non nobis  Domine (Latin) (2 part),Byrd/Wagner ,
935-Treble Chorus,Little Lamb, ,
935-Treble Chorus,Two Poems of Emily Dickinson: I Never Saw a Moor,Neil Ginsberg,
935-Treble Chorus,Great Gettin' Up Mornin'!,Mary Goetze,
935-Treble Chorus,Cantar!,Jay Althouse,
935-Treble Chorus,Tomorrow Shall Be My Dancing Day,Snyder,
935-Treble Chorus,Kekkehihi,Schein,
935-Treble Chorus,Nachtlied (German),Beethoven/Bertaux  ,
935-Treble Chorus,Jesu  Joy Of Man's Desiring,Bach/Liebergen  ,
931-Mixed Chorus,O Bella Fusa,di Lasso/ Klein,
931-Mixed Chorus,Sing To The Lord  from Three Meditations,Noel Goemanne,
933-Tenor/Bass Chorus,New River Train,Anon. or Trad./Moore  ,
933-Tenor/Bass Chorus,Goodbye  My Lover  Goodbye,Siltman,
933-Tenor/Bass Chorus,Old Joe Clark, ,
935-Treble Chorus,Prayer,Land,
935-Treble Chorus,A Joyful Song,Kirk,
935-Treble Chorus,Praise Evermore (2 part),Mozart/Ehret  ,
935-Treble Chorus,Sing with Pleasure,Handel/arr.Patrick Liebergen,
931-Mixed Chorus,Calm as the Night (Still wie die Nacht) (German) ,Bohm/Hagemann  ,
931-Mixed Chorus,Set Me As A Seal,Leavitt/Crocker arr.,
931-Mixed Chorus,Gloria from Mass II (Latin),Hassler/Harris  ,
931-Mixed Chorus,O Vos Omnes,Giovanni Croce/arr. Snyder  ,
931-Mixed Chorus,How Can I Keep from Singing?,Beck,
935-Treble Chorus,Magnificat (Latin) (soli opt) (keyboard),Haydn/Pauly  ,
935-Treble Chorus,Moon Song (Three  Spanish Ballades),Butler,
935-Treble Chorus,He's Gone Away (SSA),Anon. or Trad./Coghlan,
935-Treble Chorus,My True Love Has My Heart (SA) * ,Williams/Butler,
931-Mixed Chorus,In THis Ancient House (Momoshiki Ya),Ruth Morris Gray,
933-Tenor/Bass Chorus,Yonder Come Day,Tucker,
933-Tenor/Bass Chorus,Kyrie,Juneau,
933-Tenor/Bass Chorus,Down The River (CCB),Anon. or Trad./Follett/Green,
933-Tenor/Bass Chorus,I'm Bound Away ,Patterson,
935-Treble Chorus,Spring Song,Eugene Butler,
935-Treble Chorus,Taratella (2 part),Anon. or Trad./Bobetsky,
935-Treble Chorus,Mailied II (Second May Song)  (German or English) (SA) (sing three verses) (omit french horn),Schubert,
935-Treble Chorus,Sound the Trumpet! Praise Him!,Haydn/arr. Hopson,
935-Treble Chorus,Some Folks,Foster,
935-Treble Chorus,Some One,Randall Thompson,
931-Mixed Chorus,Charlottetown,Anon. or Trad./Christiansen,
931-Mixed Chorus,Farewell/Four German Folk Songs,Brahms,
933-Tenor/Bass Chorus,The Lord's My Shepherd (TBB),Anon. or Trad./Duson  ,
933-Tenor/Bass Chorus,Red River Valley ,Crocker/ Leavitt,
935-Treble Chorus,Non Nobis  Domine,Byrd/ Wagner,
935-Treble Chorus,Carol for a King,Crocker,
935-Treble Chorus,Sing Alleluia,Riley,
935-Treble Chorus,Ghost Ship,Besig/Price,
935-Treble Chorus,Sound the Trumpet! Praise Him!,Haydn/Hopson,
935-Treble Chorus,Come  Now Let Us Be Joyful,Vecchi,
935-Treble Chorus,Come Let Us Be Joyful ,Vecchi,
931-Mixed Chorus,Annie Laurie (SATB) (oboe),Martin,
931-Mixed Chorus,Chester (also pub separately) ,Billings,
931-Mixed Chorus,Regina Caeli ,Soriano,
931-Mixed Chorus,Zigeunerleben (German) (solos opt) (piano & percussion),Schumann/Walton,
931-Mixed Chorus,Music  Spread Thy Voice Around (from Solomon) (SSATB  alto or mezzo sop solo),Handel/Cramer  ,
931-Mixed Chorus,Laudate,Goemanne,
931-Mixed Chorus,I will Sing the Goodness of the Lord,Crocker,
931-Mixed Chorus,Hosanna,Pierce,
931-Mixed Chorus,O My Luve's Like A Red  Red Rose,Clausen,
933-Tenor/Bass Chorus,The Miller of Dee (TTBB),Anon. or Trad./Rutter,
935-Treble Chorus,Sonntag (from Four Songs for Three Voices) (German) ,Brahms,
935-Treble Chorus,Minoi  Minoi (Samoan) (SSAA),Anon. or Trad./Marshall  ,
935-Treble Chorus,A Shepherd's Lullaby,Strid,
931-Mixed Chorus,The White Moon,Butler,
931-Mixed Chorus,O Magnum Mysterium,Victoria,
931-Mixed Chorus,Let Beauty Awake ,Larkin,
931-Mixed Chorus,Veni Creator Spiritus (Latin),Haydn/Banner  ,
931-Mixed Chorus,Sing We Noelle,Goemanne,
931-Mixed Chorus,God of Life (from The Seasons) (keyboard or full orchestra),Haydn/Scholz  ,
931-Mixed Chorus,Domine  ad adjuvandum me festina,Martini/Castellini,
933-Tenor/Bass Chorus,Praise To The Lord,Talley,
933-Tenor/Bass Chorus,Exsultate Justi,Viadana/Vene,
935-Treble Chorus,Sing Gloria In Excesis Deo,Spevacek,
935-Treble Chorus,Windchimes (windchimes or mark tree),Butler,
935-Treble Chorus,My True Love Has My Heart ,Johnson,
931-Mixed Chorus,In Pride of May (SSATB),Weelkes/Porter  ,
935-Treble Chorus,Gloria  Gloria  Hodie,Wagner,
931-Mixed Chorus,And the Green Grass Grew (SAB),Moore,
931-Mixed Chorus,Blow  Thou Winter Wind ,Butler,
931-Mixed Chorus,Chi la Gagliarda,Donato / Klein,
931-Mixed Chorus,2. In Monte Oliveti (from Two Motets) (Latin) ,Croce/McCray  ,
931-Mixed Chorus,Your Shining Eyes,Bateson,
931-Mixed Chorus,Venite Amante,Adriano Banchieri/arr. Liebergen,
933-Tenor/Bass Chorus,Midieval Kyrie,Singh,
933-Tenor/Bass Chorus,Down By The Salley Gardens (from Three Irish Folk Songs) (TBB  opt soli),Anon. or Trad./Deale  ,
935-Treble Chorus,A Star Dances  an Angel Sings,Gilpin,
935-Treble Chorus,In Time of Silver Rain,Johnson,
935-Treble Chorus,O Taste and See (SSA),Vaughan Williams,
935-Treble Chorus,Barbara Allen (from Three Mountain Ballads) ,Anon. or Trad./Nelson  ,
935-Treble Chorus,There IS No Rose,Stroope,
935-Treble Chorus,Now with Joyful Exultation,Couperin/Grotenhuis,
935-Treble Chorus,Ning Wendete,Walter,
935-Treble Chorus,How Merrily We Live,Michael Este,
935-Treble Chorus,Shady Grove ,Anon. or Trad./Bertaux  ,
935-Treble Chorus,The Road Not Taken (SA),DeWitt,
935-Treble Chorus,My Love Gave Me,DeWitt,
935-Treble Chorus,Your Friend Shall Be the Tall Wind,Judith Herrington/arr. Glick,
931-Mixed Chorus,Ain'-a That Good News!,Dawson,
931-Mixed Chorus,Gloria in Excelsis ,Vivaldi/Herrmann ,
931-Mixed Chorus,Psalm 150 (sing two verses) (keyboard opt),Schutz,
931-Mixed Chorus,Il Bell' Umore,Giovanni Gastoldi/Abraham Kaplan,
931-Mixed Chorus,O Sacrum Convivium (Latin) (SATB divisi),Mathews,
931-Mixed Chorus,16. Die Nachtigall (from III. Sechs Lieder im Freien zu singen op. 59) ,Mendelssohn,
933-Tenor/Bass Chorus,Pretty Saro,Wolniakowski,
933-Tenor/Bass Chorus,Die Nacht (German),Schubert/Erb/Leavitt/Goldsmith,
933-Tenor/Bass Chorus,Stopping by Woods on a Snowy Evening (from Frostiana) (TBB),Thompson,
933-Tenor/Bass Chorus,Loveliest Of Trees  The Cherry Now ,Nance,
935-Treble Chorus,La Virgen Lava Panales,DeCormier,
935-Treble Chorus,Angelus Ad Virginem (Latin),Spencer,
933-Tenor/Bass Chorus,Who Will Be A Witness?,Donald Moore,
935-Treble Chorus,Non Nobis Domine,Byrd/Leavitt,
935-Treble Chorus,Einini,Giebler,
931-Mixed Chorus,Misericordias Domini (Latin),Mozart,
931-Mixed Chorus,Simple Gifts (No. 4 from Old American Songs  Set 1) (opt orchestral accomp),Copland/Brunner  ,
933-Tenor/Bass Chorus,The Vagabond ,Vaughan Williams,
935-Treble Chorus,Blow  Blow  Thou Winter Wind ,Ruth Elaine Schram,
935-Treble Chorus,Flight of the Grackles,John & Janet Gardner,
935-Treble Chorus,Keep Your Lamps Trimmed And Burnin',Anon. Or Trad./Gilpin,
931-Mixed Chorus,With A Voice of Singing,Martin Shaw,
931-Mixed Chorus,Ubi caritas,Durufle,
931-Mixed Chorus,1. In the Village 2. Boatman! Boatman! (from Three Hungarian Folk Songs),Bartok/Suchoff,
931-Mixed Chorus,Gloria in Excelsis from 'Gloria',Vivaldi/Martens,
931-Mixed Chorus,Cantate Domino (O Sing Ye Unto the Lord)  (Latin  brass opt/CO) (Latin a cappella/GVT),Schutz/Peek/Iseler,
931-Mixed Chorus,A Walk with Me (SATB),Duson,
931-Mixed Chorus,Zigeunerleben,Robert Schumann,
933-Tenor/Bass Chorus,May God Smile On You (English),Bach,
933-Tenor/Bass Chorus,Brothers  Sing On!,McKinney,
935-Treble Chorus,Do Not Stand At My Grave and Weep,Laura Farnell,
935-Treble Chorus,Make a Joyful Noise Unto the Lord,Julie Knowles,
935-Treble Chorus,Sleep Gently Sleep (Wiegenlied) ,Harris arr. Harris,
935-Treble Chorus,Pie Jesu,Tom Shelton,
935-Treble Chorus,Kyrie Eleison ,Hunt,
931-Mixed Chorus,Cast Thy Burden Upon the Lord (SACB),Mendelssohn/Farrell,
933-Tenor/Bass Chorus,Cripple Creek,Crocker,
933-Tenor/Bass Chorus,Reuben Ranzo,Vijay Singh,
933-Tenor/Bass Chorus,2. Home on the Range (from Remembering: Songs Of The American West) (TTB divisi  opt solo),Anon. or Trad./Patterson  ,
933-Tenor/Bass Chorus,The Chariot Spiritual [T(T)B(B)  descant],Anon. or Trad./Moore  ,
933-Tenor/Bass Chorus,I Am Bound for the Promised Land (TB),Anon. or Trad./DeWitt,
935-Treble Chorus,Give thanks and Priase,Handel/Kihlken,
935-Treble Chorus,An A Capella Triptych: Kyrie,Schram,
935-Treble Chorus,In Dulci Jubilo,Leck,
935-Treble Chorus,Marienwumchen,Goetze,
935-Treble Chorus,I Will Always Love You,Oliver,
931-Mixed Chorus,Meet Me (SAB),DeWitt,
931-Mixed Chorus,Tu pauperum refugium (Latin),des Pres/Beveridge  ,
931-Mixed Chorus,The Lord Is My Shepherd,Cain,
931-Mixed Chorus,Fiddler Man (from Three American Lyrics) (SSATB),Rutter,
931-Mixed Chorus,Wi' a Hundred Pipers (piano or guitar) (opt recorder & tenor drum),Anon. or Trad./Berg  ,
933-Tenor/Bass Chorus,Jubilate Deo,Praetorius/Rao,
933-Tenor/Bass Chorus,Sea Fever ,Porterfield,
935-Treble Chorus,Brush Strokes,Williams,
935-Treble Chorus,ONE SONG,PERRY,
935-Treble Chorus,One Morning In May,arr. Williams,
931-Mixed Chorus,Go and Tell John (SSATB),Pfautsch,
933-Tenor/Bass Chorus,Once to Every Man and Nation ,Anon. or Trad./Walters,
933-Tenor/Bass Chorus,Pretty Saro ,Scoggin,
933-Tenor/Bass Chorus,Pie Jesu ,Lightfoot,
935-Treble Chorus,Who Has Seen The Wind,Beery,
935-Treble Chorus,As Torrents in Summer ,Elgar/Livingston  ,
935-Treble Chorus,Scarborough Fair ,Anon. or Trad./Goetze  ,
935-Treble Chorus,Joyfully Sing  Alleluia!,Donelly/Strid,
935-Treble Chorus,Laughing Song (flute),Pfautsch,
935-Treble Chorus,The Mouse Madrigal,Arr. Steven Porter,
935-Treble Chorus,Cantate Domino! Alleluia!,Cristi Cary Miller,
935-Treble Chorus,Bel Piacere from Two Handel Classics,Handel/Perry,
935-Treble Chorus,Plaisir d'Amour,Martin/Strommen,
935-Treble Chorus,Hush  My Babe,Koudelka/Bacon,
931-Mixed Chorus,RISE UP IN FESTIVE SONG,CLERAU,
931-Mixed Chorus,While Joyful Springtime Lasteth,Youll H./Snyder A.,
931-Mixed Chorus,Cantate Domino,Hassler/Robinson,
935-Treble Chorus,A La Nanita Nana ,Anon. or Trad./Sanchez  ,
935-Treble Chorus,I Thank You God (SA) (opt inst),Burge,
931-Mixed Chorus,O Come Loud Anthems let Us Sing,Kirk,
931-Mixed Chorus,A Red  Red Rose ,Mulholland/Rodby  ,
931-Mixed Chorus,Balulalow (SATB divisi),Daley,
931-Mixed Chorus,Jesu dulcis memoria,Vicotria,
933-Tenor/Bass Chorus,The Streets of Laredo ,Anon. or Trad./Hunter,
933-Tenor/Bass Chorus,Coventry Carol ,Anon. or Trad./Gilbert,
933-Tenor/Bass Chorus,The Boatmen's Dance,Copland/Fine,
935-Treble Chorus,O  Praise God in His Holiness,C. Armstrong Gibbs,
935-Treble Chorus,Ave Verum Corpus,Mozart,
935-Treble Chorus,Heute ist Christus der Herr geboren (German) (continuo) (SSA),Schutz/Klein,
935-Treble Chorus,Ho-ja-ja  ho-ja-ja (SSAA),Macha,
935-Treble Chorus,All Men Draw Near ,Williams,
935-Treble Chorus,Si come crescon from Canzonette a tre voci,Monteverdi/ed Marvin,
935-Treble Chorus,Tshotsholoza,Leck,
931-Mixed Chorus,Glory to God!,Handel/Liebergen                                            ,
931-Mixed Chorus,Set Down Servant,arr. Roger Emerson,
933-Tenor/Bass Chorus,Cajun Folk Song,from Two Part American Folk Songs,
933-Tenor/Bass Chorus,Walleye Joe,Parker/Courtney,
933-Tenor/Bass Chorus,Santa Lucia,Arr. Henry Leck,
935-Treble Chorus,Prayer of the Norwegian Child (SA/Solo),Artman,
935-Treble Chorus,Sing We A New Song,Greg Gilpin,
935-Treble Chorus,Good Night  Gently Sleep (Dobru Noc)  (Slovakian & English) (SSA  opt bells),Herrington/Glick  ,
935-Treble Chorus,Book of Canons  #5,Feierabend,
935-Treble Chorus,Lacia chio pianga,Handel/Perry,
935-Treble Chorus,Que le temps me dure (Life is Sad and Weary)  (French or English) ,Beethoven,
935-Treble Chorus,The Last Rose of Summer,Mary Lynn Lightfoot,
933-Tenor/Bass Chorus,Chorale from Sleepers Awake,Bach/Crocker,
935-Treble Chorus,Stars are for Those who Lift their Eyes,Pauline Delmonte,
931-Mixed Chorus,Ave Verum ,Byrd,
931-Mixed Chorus,26. Lob des Fruhlings (from V. Sechs Lieder im Freien zu singen op. 100) ,Mendelssohn,
931-Mixed Chorus,Even When God Is Silent ,Horvit,
931-Mixed Chorus,Abide With Me (SATB divisi),Monk/Hogan  ,
935-Treble Chorus,Der Herr is gross,Schutz/Almquist,
935-Treble Chorus,Night Song ,Wittig,
935-Treble Chorus,Early in the Spring ,Anon. or Trad./Vaughan Williams,
933-Tenor/Bass Chorus,March of the Kings (French),Trad./Shaw/Parker,
933-Tenor/Bass Chorus,The Roast Beef of Old England,Trad./Strommen,
933-Tenor/Bass Chorus,The King Of Love My Shepherd Is (solo),Trad./Wilberg  ,
933-Tenor/Bass Chorus,Lady  Lovely Art Thine Eyes (TBB),Trad./Kilpatrick,
