,count,title,composer,event,specification,grade,average std dev above mean,average uil score,average score above expected
935-2-27862,3,Johnny Has Gone For A Soldier,Anon. or Trad.,Treble Chorus,(SSA) (a cappella),2,-0.3561316217564219,1.89,-0.38647590725226566
931-3-21149,3,Thee With Tender Care,Bach,Mixed Chorus,(two chorales) (also pub separately) (a cappella),3,-0.08692788142327701,1.5566666666666666,-0.18023738912709045
931-4-21362,3,The Elves' Dance,Bennet,Mixed Chorus,(SSAB) (a cappella),4,-0.15098280296239186,1.11,0.24164594841063325
931-5-21744,3,Auf dem See,Mendelssohn,Mixed Chorus,(German) (a cappella),5,-0.02394983784849991,1.11,0.19364598966569893
931-4-21437,3,Magdalena,Brahms,Mixed Chorus,(German) (a cappella),4,0.12682545510478038,1.0,0.24084933100639905
931-4-21488,3,Lerchengesang,Mendelssohn,Mixed Chorus,(German) (a cappella),4,-0.30175809591567204,1.11,0.30444260706993315
931-4-21494,3,Agnus Dei,Morley,Mixed Chorus,(Latin/Bou) (a cappella),4,-0.09729915401005607,1.6666666666666667,-0.3075681443499467
933-3-31060,3,Da Pacem Domine,Franck,Tenor-Bass Chorus,(TTB) (a cappella),3,-0.2898869319959778,1.33,0.07704425711275031
935-5-30858,3,Fantoches,Debussy,Treble Chorus,(SSA) (accomp),5,-0.2898869319959778,1.0,0.4070442571127504
931-3-21311,3,Let Joyful Anthems Rise,Handel,Mixed Chorus,(SAB) (keyboard) (accomp),3,-0.3136292598353665,1.89,-0.46815904297288397
933-3-22169,2,Ezekiel Saw the Wheel,Anon. or Trad.,Tenor-Bass Chorus,(TTBB) (a cappella),3,-0.514434554479392,1.335,0.3125891706059305
931-4-21160,2,Dixit Maria,Hassler,Mixed Chorus,(a cappella),4,0.022701879210192955,1.5,-0.1806215316315205
931-5-21766,2,Gloria,Pierce,Mixed Chorus,(Latin) (SSATB) (a cappella),5,-0.09855628648548653,1.0,0.3399899440625692
933-1-21976,2,The Mustang,DeWitt,Tenor-Bass Chorus,(a cappella),1,0.022701879210192955,1.835,-0.5156215316315205
935-2-31078,2,O Magnum Mysterium,Antognini,Treble Chorus,(SA)(Cello) (accomp),2,0.022701879210192955,1.0,0.3193784683684795
935-3-29461,2,Der Herr Segne Euch,Bach,Treble Chorus,(SA) (accomp),3,0.022701879210192955,1.0,0.3193784683684795
935-4-36815,2,Flying Solo,Silvey,Treble Chorus,(SSA) (accomp),4,0.022701879210192955,1.665,-0.34562153163152054
933-4-22256,2,J'ay le rebours,Certon,Tenor-Bass Chorus,(French) (a cappella),4,-0.5107409157274454,1.165,0.4139653073645768
935-4-30430,2,"Angels, Ever Fair and Bright",Handel,Treble Chorus,(SSA) (accomp),4,-0.2898869319959778,1.335,0.07204425711275042
931-3-21349,2,Jubilance,Spevacek,Mixed Chorus,(accomp),3,0.022701879210192955,1.33,-0.010621531631520575
931-5-21758,2,Rorate Coeli,Palestrina,Mixed Chorus,(Latin) (SSATB) (a cappella),5,-0.514434554479392,1.0,0.6475891706059305
