,count,title,composer,event,specification,grade,average std dev above mean,average uil score,average score above expected
,84651,,,,,,,,
935-2-22659,1901,Medieval Gloria,Singh,Treble Chorus,(SA) (w/ hand drum) (a cappella),2,-0.456634951057725,1.6105662393162365,-0.07347180881053658
935-1-22482,1220,The Cuckoo,Anon. or Trad.,Treble Chorus,(w/ or w/o accomp) (SA) (a cappella),1,-0.40048212253219484,1.5016290726817034,-0.0030992190767773447
935-1-22549,1176,Dodi Li,Chen,Treble Chorus,"(SA, solo opt) (accomp)",1,-0.40530259420769843,1.531570680628271,-0.024467184412763656
933-1-31056,842,Three Latin Songs,Farnell,Tenor-Bass Chorus,(T(T)B)(perform #1 or #3) (a cappella),1,-0.2781828970711362,1.4551719901719915,-0.027387242958359825
933-1-21935,813,Red River Valley,Anon. or Trad.,Tenor-Bass Chorus,(TB or TTB) (a cappella),1,-0.4392822054164678,1.5959476309226936,-0.07380953387008551
935-1-22589,776,Festival Alleluia,Pote,Treble Chorus,(unison or 2 part) (accomp),1,-0.3783868565023516,1.5397786458333345,-0.04144811060147242
931-4-27519,762,Esto Les Digo,Lange,Mixed Chorus,"(SATB, sop solo) (a cappella)",4,-0.4272306962495087,1.4977496671105193,0.022123041725229022
933-1-30362,747,The Vagabond,Farnell,Tenor-Bass Chorus,(TB) (opt. a capella) (accomp),1,-0.2814638142358554,1.5141313269493843,-0.08422491826856447
933-1-30361,704,The Open Road,Farnell,Tenor-Bass Chorus,(TB) (opt accomp) (a cappella),1,-0.32617034793447086,1.5002192982456155,-0.047630419219053616
935-2-22697,694,Sing With Pleasure,Handel,Treble Chorus,(SA or SSA) (opt flute) (accomp),2,-0.45651817966874586,1.4901739130434783,0.046887563077586944
933-2-22098,610,The Shepherd's Spiritual,Anon. or Trad.,Tenor-Bass Chorus,"(TB, opt solo) (opt tambourine) (accomp)",2,-0.4160064389229534,1.5573789649415706,-0.042311138654057896
933-4-22324,603,Be Thou My Vision,Anon. or Trad.,Tenor-Bass Chorus,(TBB) (opt bass solo) (accomp),4,-0.4340800117301715,1.389158249158251,0.12844209806977286
931-4-21597,587,Der Tanz,Schubert,Mixed Chorus,(German) (accomp),4,-0.4322653016268543,1.420894736842105,0.10343399076059842
935-3-29201,577,Gloria Fanfare,Farnell,Treble Chorus,(SSA)(a cappella or accomp) (accomp),3,-0.42568038681450093,1.4617913043478263,0.04811248931324329
935-5-23172,572,Psalm 100,Clausen,Treble Chorus,(SSA) (two pianos or one piano & inst) (accomp),5,-0.4738250767951584,1.3853615520282203,0.15960451694912914
935-2-22679,551,Stars Are For Those Who Lift Their Eyes,Delmonte,Treble Chorus,(2 or 3 part) (keyboard or guitar) (solo opt) (accomp),2,-0.4336434986581268,1.5587840290381132,-0.03687520039437135
935-1-22498,500,Tallis's Canon,Tallis,Treble Chorus,(w/ or w/o accomp) (SA) (a cappella),1,-0.4412946739014605,1.6130321285140572,-0.09225524967899026
935-2-22682,494,Cantate,Donnelly,Treble Chorus,(Latin) (2 part) (accomp),2,-0.45454496630469365,1.5745638945233273,-0.032243529892241156
935-4-22930,473,This Little Babe,Britten,Treble Chorus,(also pub separately) (accomp),4,-0.4349264425098045,1.4359787234042551,0.08718797539299492
931-5-21636,456,Il est Bel et Bon,Passereau,Mixed Chorus,(French) (w/ or w/o accomp) (a cappella),5,-0.42096735276741826,1.4939732142857134,0.020464240522705433
935-2-30836,454,El Vito,Anon. or Trad.,Treble Chorus,(SA) ( w/ opt descant) (accomp),2,-0.24840486426237263,1.4262276785714285,-0.011915860643682533
935-1-22538,436,All The Pretty Little Horses,Artman,Treble Chorus,(2 part) (keyboard & percussion) (accomp),1,-0.41479529111663704,1.6413563218390808,-0.12917968390351092
935-1-30395,410,The Moon,Beck,Treble Chorus,(SA) (accomp),1,-0.16273064575053953,1.3587841191066996,0.017982559029941534
935-1-28768,387,A la Puerta del Cielo,Anon. or Trad.,Treble Chorus,(SA) (English or Spanish) (accomp),1,-0.4228518967266124,1.595538057742782,-0.08755786271434947
935-2-22657,386,Kikkehihi,Schein,Treble Chorus,(German) (SSA) (a cappella),2,-0.4261144132917618,1.5210966057441242,-0.007356812501847506
935-1-29447,379,The Book of Canons (song #6),Anon. or Trad.,Treble Chorus,(perform entire song as unison then as a canon) (2 or 3 part canon) (German or English) (a cappella),1,-0.3654231818071212,1.5314399999999997,-0.05632373938455059
931-2-21083,378,Psallite,Praetorius,Mixed Chorus,(Latin & German) (a cappella),2,-0.42865955587219884,1.5458510638297875,-0.02868418301464239
935-3-28782,377,Rise Up in Festive Song,Clereau,Treble Chorus,(SSA) (opt hand drum & finger cymbals or triagle) (a cappella),3,-0.4219295305506512,1.3943236074270562,0.10904248843288243
931-3-21346,375,Ma Navu,Anon. or Trad.,Mixed Chorus,(Hebrew) (SAB or SATB) (accomp),3,-0.4094901433449327,1.545764075067024,-0.03843934773813462
935-1-22532,365,Hashivenu,Anon. or Trad.,Treble Chorus,(sing version 2) (3 part canon) (a cappella),1,-0.3841388378092767,1.5506575342465756,-0.06532651186504376
935-2-22719,357,Little Lamb,Porterfield,Treble Chorus,"(2 part, solo opt) (accomp)",2,-0.40465142196426673,1.5297191011235955,-0.02512786875373483
935-1-29486,355,Clap Your Hands,Council,Treble Chorus,(2 part) (opt percussion) (accomp),1,-0.38096058134328636,1.4456056338028158,0.046360240183159075
933-2-22078,352,Soldier's Hallelujah,Singh,Tenor-Bass Chorus,(TB) (opt snare & tenor drum) (a cappella),2,-0.44907483575811313,1.5757391304347823,-0.04509999959644102
935-1-30833,349,Murasame,Johnson,Treble Chorus,"(SA) (piano w/ opt rain stick, chime tree) (accomp)",1,-0.24910103875973655,1.4156772334293934,-0.001210354704351866
935-1-22488,343,Love In Thy Youth,Crocker,Treble Chorus,(SA) (a cappella),1,-0.18583049675252328,1.4682507288629731,-0.08707347803530333
935-1-22489,340,Spring Quiet,Crocker,Treble Chorus,(SA) (a cappella),1,-0.217899520797169,1.4396417910447756,-0.042837237000313534
935-2-28799,329,Antiphonal Alleluia,Leavitt,Treble Chorus,(SA) (opt string bass & percussion) (accomp),2,-0.44906497646384036,1.5719817073170725,-0.04562641720540867
933-1-30356,329,All the World was Made for Me,Farnell,Tenor-Bass Chorus,(TB) (opt accomp) (a cappella),1,-0.281257628216091,1.515182926829269,-0.08299686537067147
935-4-23018,306,Pavane for Spring,Butler,Treble Chorus,"(piano, finger cymbals, opt recorder) (accomp)",4,-0.43772152970311273,1.3463907284768217,0.17913076520678056
933-2-30364,306,Cantate Domino,Farnell,Tenor-Bass Chorus,(TTB)(accomp opt) (a cappella),2,-0.3682960257287693,1.4456187290969895,0.024251448319118046
931-5-21874,303,Zigeunerleben,Schumann,Mixed Chorus,(German) (solos opt) (piano & percussion) (accomp),5,-0.440241490318821,1.4329194630872484,0.09526071769282993
933-1-30359,301,Sea Remembrance,Farnell,Tenor-Bass Chorus,(TB) (opt accomp) (a cappella),1,-0.29416256744500613,1.4337248322147644,0.001256109076469161
935-2-30838,300,"Goodnight, My Love",Farnell,Treble Chorus,(SA) (a cappella only) (a cappella),2,-0.2879945979731968,1.4092953020134225,0.024060602885259727
935-2-27870,297,Dancing And Singing,Lully,Treble Chorus,(opt flutes & hand drum) (accomp),2,-0.4380761591017506,1.493602693602693,0.03726453152081004
935-1-22592,291,Good Night,Anon. or Trad.,Treble Chorus,(2 part) (w/ opt orff inst) (accomp),1,-0.41521282330905684,1.5952097902097897,-0.08711144423911238
933-1-21936,288,Sons Of Art,Anon. or Trad.,Tenor-Bass Chorus,(a cappella),1,-0.1737386434765773,1.4806271777003488,-0.10041580353786665
935-5-23176,285,The Snow,Elgar,Treble Chorus,(SSA) (vln & piano) (accomp),5,-0.4106362120816287,1.424859154929577,0.07173274371276467
933-2-21933,279,Sansa Kroma,Anon. or Trad.,Tenor-Bass Chorus,(TTB) (percussion) (pub separately) (a cappella),2,-0.374535253648848,1.521268115942028,-0.053181809053858414
935-2-22705,272,The King of Love,Anon. or Trad.,Treble Chorus,"(3 part, opt solo) (accomp)",2,-0.46657359742048987,1.6029779411764709,-0.05624457469950403
931-4-21708,268,Muie Rendera,Fonseca,Mixed Chorus,(Portuguese) (SSATB) (a cappella),4,-0.4189864143255675,1.3370075757575757,0.17519911655604214
931-3-27522,267,Come to the Music,Martin,Mixed Chorus,(SSATTB) (piccolo & percussion optional) (accomp),3,-0.36956526397501177,1.4266666666666667,0.05743799249543866
935-1-22544,263,Marienwurmchen,Brahms,Treble Chorus,(German) (unison) (accomp),1,-0.40088031990577955,1.5293916349809882,-0.020716485173754517
935-5-29270,263,Laudate Pueri Dominum,Mendelssohn,Treble Chorus,(SSA) (piano or organ) (accomp),5,-0.4514913498611699,1.4439312977099232,0.07730201911651137
935-4-22950,262,Os Justi,Daley,Treble Chorus,(Latin) (SSAA) (a cappella),4,-0.43766641827988884,1.3844230769230774,0.1363710448175946
935-2-27847,260,Torah Orah,Anon. or Trad.,Treble Chorus,(opt clarinet & bass) (accomp),2,-0.4191220181462967,1.4467829457364338,0.06120199114834007
935-2-32039,258,Lux Aeterna,Jones,Treble Chorus,(SA)(a cappella or accomp) (a cappella),2,-0.25342636977789446,1.418217054263565,-0.013589153514424896
935-4-27946,258,Ave Maria,Keating,Treble Chorus,[SS(S)A or (Latin) (SSSA)] (a cappella),4,-0.46489031554158444,1.4636821705426357,0.07663610457944939
935-2-22638,248,"Non Nobis, Domine",Byrd,Treble Chorus,(SSA) (a cappella),2,-0.38566253386156535,1.4380241935483866,0.07780866797782991
931-4-24170,247,"Luci Care, Luci Belle",Mozart,Mixed Chorus,(Italian) (SAB) (keyboard or inst) (accomp),4,-0.41910942471147816,1.6350406504065043,-0.1159116455400656
931-2-21080,243,Cantate Domino,Pitoni,Mixed Chorus,(Latin) (a cappella),2,-0.44723632170824357,1.6245188284518828,-0.09897504811889261
935-4-22971,243,Akakomborerwa,Kesselman,Treble Chorus,(Latin & Shona) (SSAA) (percussion) (a cappella),4,-0.44986188435701946,1.3687242798353911,0.15570536699208037
931-2-21104,240,"Sing Praise, Alleluia",Crocker,Mixed Chorus,(3 part mixed) (SAB) (keyboard) (accomp),2,-0.48659463291475236,1.7688235294117651,-0.1968103007347162
935-4-22794,233,Vere Languores Nostros,Lotti,Treble Chorus,(Latin) (opt soli) (a cappella),4,-0.46727658850191545,1.5667532467532468,-0.012222316663123229
933-2-27730,228,Lil' Liza Jane,Anon. or Trad.,Tenor-Bass Chorus,(TTB changing voices) (a cappella),2,-0.4117303101579022,1.514072398190045,-0.01595043349503311
935-4-27982,226,Mouth Music,Keane,Treble Chorus,(SSA) (drum) (a cappella),4,-0.39951013879728814,1.2783111111111116,0.21754161840786554
933-2-22003,218,"Leave Her, Johnny",Anon. or Trad.,Tenor-Bass Chorus,(TB or TTB) (a cappella),2,-0.2036823425746126,1.3328372093023264,0.05644238078698403
933-4-27794,215,The King Of Love My Shepherd Is,Anon. or Trad.,Tenor-Bass Chorus,"(TTBB, solo) (piano or harp, flutes) (accomp)",4,-0.44737752922376073,1.3235348837209304,0.20083462675197228
931-5-21850,210,Ave Verum,Mozart,Mixed Chorus,(Latin) (keyboard; strings opt) (accomp),5,-0.46364476155836964,1.528238095238096,0.007675683742484991
931-1-21001,208,"River, Sing Your Song",Butler,Mixed Chorus,(piano) (3 part mixed) (accomp),1,-0.44630209023528367,1.9103846153846153,-0.3783532913470614
935-2-22730,208,Autumn Vesper,Snyder,Treble Chorus,(SA) accompanied (SSA optional) (accomp),2,-0.32693776972441224,1.458125,-0.01302880406263646
931-3-29321,208,Alleluia,Mozart,Mixed Chorus,(SAB or SATB) (accomp),3,-0.3781247311786431,1.629519230769231,-0.14330854535310486
931-1-20989,207,Cum Sancto Spiritu,Lotti,Mixed Chorus,(Latin) (SAB) (a cappella),1,-0.41987902884865624,1.6682125603864746,-0.15610715893827576
935-3-22888,207,Niska Banja,Anon. or Trad.,Treble Chorus,"(SSAA) (piano, 4 hands) (accomp)",3,-0.4272079979911849,1.3541062801932373,0.15202848804364952
933-4-22270,207,Aura Lee,Poulton/Hunter,Tenor-Bass Chorus,(a cappella),4,-0.18549837742950004,1.5038536585365851,-0.1177033665703444
931-4-21455,204,Ubi caritas,Durufle,Mixed Chorus,(SATTBB) (Latin) (a cappella),4,-0.4581948363638193,1.405,0.12817491379884058
935-2-27882,203,Petit Enfant,Shaw,Treble Chorus,(opt flute) (accomp),2,-0.4502882213927799,1.4382266009852218,0.09569498874817364
935-3-30835,201,Dobru' Noc,Johnson,Treble Chorus,"(SSA) (piano, vln [vln not opt]) (accomp)",3,-0.29563261799710827,1.34665,0.08769584255911815
931-4-21498,199,Laudate,Nystedt,Mixed Chorus,(SATB div) (Latin) (a cappella),4,-0.40478896155289945,1.4838190954773876,0.017980649375876793
935-3-22870,199,Plaisir d'Amour,Martini,Treble Chorus,(French) (accomp),3,-0.4292960286335341,1.4685427135678397,0.06819541247124297
935-2-22686,197,Some Folks,Foster,Treble Chorus,(2 part) (accomp),2,-0.47983508251129425,1.5124365482233508,0.03808468174655899
935-5-23112,192,Tota pulchra es,Durufle,Treble Chorus,(Latin) (SSA divisi) (a cappella),5,-0.43596409984183637,1.4043229166666673,0.12502263727943375
935-5-23191,192,Cantate Domino,Lang,Treble Chorus,(Latin) (SSAA w/ sop & alto soli) (electronic keyboard) (accomp),5,-0.4515242122285119,1.3278534031413618,0.20348087897206765
935-5-23201,189,Ah! si mon moine voulait danser!,Anon. or Trad.,Treble Chorus,(French) (opt percussion) (accomp),5,-0.3773756338153733,1.2923404255319149,0.21277064386354
933-4-27785,185,"Riu, Riu, Chiu",Anon. or Trad.,Tenor-Bass Chorus,"(TTBB, tenor soli) (tenor drum & tambourine) (a cappella)",4,-0.39553540316018454,1.2521081081081085,0.237734070994409
933-5-22411,185,Vive L'Amour,Anon. or Trad.,Tenor-Bass Chorus,(baritone solo) (a cappella),5,-0.41667958947657824,1.3242702702702702,0.1756536041534088
935-4-29275,184,Romance,Debussy,Treble Chorus,(SSA) (accomp),4,-0.44368330410092316,1.4308152173913051,0.08978152120992763
935-2-22711,183,Regina Angelorum,Mozart,Treble Chorus,(Latin) (2 part) (accomp),2,-0.4499480304406678,1.571318681318681,-0.030018862666687712
935-3-28817,183,Hear the Joy,Arcadelt,Treble Chorus,(SSA) (opt hand drum & finger cymbals) (a cappella),3,-0.4214238610820409,1.3768306010928968,0.12960095878650257
931-5-29407,178,In Remembrance,Ames,Mixed Chorus,(SATB div) (french horn) (accomp),5,-0.42552896702378407,1.3051123595505618,0.2065004596590359
935-2-22688,178,Ode to Peace,Gallina,Treble Chorus,(2 part) (opt brass quintet) (accomp),2,-0.47538652731901077,1.6591525423728812,-0.0980168416308811
935-2-30412,173,Shenandoah,Anon. or Trad.,Treble Chorus,(SA) (accomp),2,-0.21517226553020574,1.4313872832369945,-0.03740643967585083
935-1-29469,173,Prettier Far than These,Beery,Treble Chorus,(unison opt 2 part) (accomp),1,-0.14475047520541695,1.3818128654970767,-0.01881510855281747
931-2-27483,172,Sing On This Festive Day,Arcadelt,Mixed Chorus,(SAB) (opt hand drum & finger cymbals or triangle) (a cappella),2,-0.452351587851306,1.5697093023255817,-0.032881218347593805
931-3-21339,171,Agnus Dei,Poorman,Mixed Chorus,(Latin) (SAB) (accomp),3,-0.391373671337659,1.5983040935672514,-0.11649551479571273
933-3-27769,169,Come to the Music,Martin,Tenor-Bass Chorus,(TTBB divisi) (piccolo & percussion required) (accomp),3,-0.4366073112458244,1.3980473372781075,0.12680921693890543
933-1-30357,169,None of Us Cared for Kate,Farnell,Tenor-Bass Chorus,(TB) (opt accomp) (a cappella),1,-0.34588513377647323,1.4188622754491023,0.0356000422846165
935-5-29281,169,Psalm 23,Stroope,Treble Chorus,(SSA) (flute & oboe) (accomp),5,-0.42384947319514654,1.33698224852071,0.17787934597589672
935-1-22539,168,Prayer Of The Norwegian Child,Artman,Treble Chorus,"(SA, solo) (opt flute & bells) (accomp)",1,-0.4640470841698503,1.574910179640718,-0.029749203641381273
933-2-29251,167,Jubilate Deo,Mozart,Tenor-Bass Chorus,(TB) (Latin) (accomp),2,-0.40777982050418027,1.5367065868263479,-0.03370489214386484
935-2-22731,163,Fog,Snyder,Treble Chorus,(3 part) (accomp),2,-0.42434189303542613,1.472269938650307,0.0492955013109436
933-2-27745,162,Sixteen Tons,Travis,Tenor-Bass Chorus,(TBB divisi) (accomp),2,-0.4384090127727993,1.5122222222222224,0.010908756227138282
935-3-22726,162,Nachtviolen,Schubert,Treble Chorus,(German) (2 part) (accomp),3,-0.46166377003965153,1.5535802469135804,-0.01747206372612598
931-1-20991,162,Sing We and Chant It,Morley,Mixed Chorus,(3 part mixed) (a cappella),1,-0.462698717010106,1.6831677018633542,-0.1433766718973905
935-1-22554,160,The Drunken Sailor,Anon. or Trad.,Treble Chorus,(SA) (accomp),1,-0.41401653962374985,1.7311875,-0.17395930412526
931-2-27492,160,Cantate Domino,Poorman,Mixed Chorus,(descant required) (accomp),2,-0.46551351367989713,1.4387341772151896,0.10154716008935653
931-1-27473,159,Rise Up In Festive Song,Clereau,Mixed Chorus,(SAB) (opt hand drum & finger cymbals or triangle) (a cappella),1,-0.3918595799527047,1.6561392405063293,-0.15895446217030862
935-2-22655,158,Friendship Song,Anon. or Trad.,Treble Chorus,(English) (4 part canon) (a cappella),2,-0.4568025833267433,1.4932911392405068,0.04079356426210306
935-3-22766,154,Nachtlied,Beethoven,Treble Chorus,(German) (a cappella),3,-0.45647452048261017,1.422012987012987,0.11253375161051818
931-4-29331,153,Kyrie Eleison,Lechner,Mixed Chorus,(SAB) (Latin) (a cappella),4,-0.4202604225783404,1.5618954248366017,-0.05763634326779577
933-2-27742,152,"Noel, Noel",Singh,Tenor-Bass Chorus,[T(T)B(B)] (a cappella),2,-0.4143463182814193,1.4973684210526321,0.013854842395856385
933-2-30368,149,Rest Not,Farnell,Tenor-Bass Chorus,(TB) (accomp),2,-0.15365725268075403,1.348859060402685,0.02750927481650739
935-4-23047,149,Cantate!,Leavitt,Treble Chorus,(German) (opt percussion) (accomp),4,-0.4795049775532294,1.5095973154362428,0.04482730310555636
933-3-27763,146,Homeward Bound,Keen,Tenor-Bass Chorus,(TBB) (accomp),3,-0.37705989589544453,1.4879861111111123,0.01405979382186684
935-3-32012,146,La Violette,Acadian Folk Song,Treble Chorus,(SSAA)(percussion required) (a cappella),3,-0.30226212358139515,1.2621917808219185,0.17081640622082564
931-2-21108,143,O Vos Omnes,Estes,Mixed Chorus,(Latin) (SAB) (accomp),2,-0.4391926660813319,1.6709790209790216,-0.1540716167319068
931-3-21319,143,Erev shel shoshanim,Anon. or Trad.,Mixed Chorus,(Hebrew) (accomp),3,-0.4505970720607535,1.5244755244755244,0.06192643914637743
935-3-22968,142,O Vos Omnes,Juneau,Treble Chorus,(Latin) (SSAA) (a cappella),3,-0.380464445525065,1.2485211267605634,0.22847615335835883
935-4-23048,142,Hodie!,Leavitt,Treble Chorus,(Latin) (opt percussion) (accomp),4,-0.4231830313759879,1.330633802816902,0.18309064980251794
931-5-21854,140,"Se Lontan, Ben Mio, Tu Sei",Mozart,Mixed Chorus,(Italian) (SAB) (3 clarinets) (accomp),5,-0.45974429535516115,1.5562589928057553,-0.021079283415107126
935-3-22817,140,"Prepare Thyself, Zion",Bach,Treble Chorus,(SA) (keyboard) (accomp),3,-0.4610312239147851,1.3928057553956845,0.1530100999992911
935-2-22619,139,In dulci jubilo,Praetorius,Treble Chorus,(SA) (w/ or w/o accomp) (a cappella),2,-0.45066391415098916,1.4865467625899285,0.05606256366388918
935-4-27943,138,Homeland,Holst,Treble Chorus,(opt brass & timp) (accomp),4,-0.46776057427033657,1.4246376811594212,0.13089701763829695
935-3-29465,130,I Did Not Die,Ulrich,Treble Chorus,(SSA) (opt oboe or other c inst) (accomp),3,-0.41796479798035313,1.3536153846153849,0.15899482603831216
933-1-30360,129,Sinner Man,Anon. or Trad.,Tenor-Bass Chorus,(TB) (accomp),1,-0.1431612529558388,1.400859375,-0.030522063283097547
931-4-21508,128,Ave Maria,Rachmaninoff,Mixed Chorus,(SATB div)(Latin) (a cappella),4,-0.48218957905371207,1.5567968750000005,-0.005607434323695145
933-1-21944,127,Tallis's Canon,Tallis,Tenor-Bass Chorus,(a cappella),1,-0.4361564362788264,1.6744881889763772,-0.14588621588015752
933-2-33305,125,Omnia Vincit Amor,Trotta,Tenor-Bass Chorus,(TB)(accomp or accapella),2,-0.1017897383799462,1.3812800000000005,-0.028380354688144743
931-5-21767,125,Hosanna in Excelsis,Pierce,Mixed Chorus,(Latin) (SATB divisi) (a cappella),5,-0.41698094178149026,1.2879200000000002,0.23046948468582448
935-5-27977,122,O Sapo,Anon. or Trad.,Treble Chorus,(SSSAA) (opt percussion) (a cappella),5,-0.42278111355400805,1.3689344262295084,0.13842844602509963
933-2-27743,122,Novum Gaudia,Anon. or Trad.,Tenor-Bass Chorus,[T(T)B(B)] (opt drum & handbells) (a cappella),2,-0.41544281752635936,1.5759836065573771,-0.0787995453129744
935-4-29273,121,Widmung,Schumann,Treble Chorus,(SA only) (accomp),4,-0.3932701555503739,1.2910084033613445,0.19841823535411737
935-4-23002,120,Sanctus,Victoria,Treble Chorus,(Latin) (a cappella),4,-0.47605403494446885,1.6109166666666668,-0.06188017080690158
935-3-27915,120,Gloria!,Riley,Treble Chorus,(SSAA) (opt suspended cymbal & triangle) (accomp),3,-0.4707744883168816,1.396666666666667,0.15156311081975063
931-4-21598,119,Lebenslust,Schubert,Mixed Chorus,(German) (accomp),4,-0.47778413721549473,1.563193277310924,0.014663457360041042
933-1-21987,118,Alleluia,Bach,Tenor-Bass Chorus,(TTBB or TBB) (accomp),1,-0.45615247185576324,1.564830508474577,-0.027663870649979584
933-4-27778,117,I Believe,Beery,Tenor-Bass Chorus,(TTBB divisi) (a cappella),4,-0.43024566068402637,1.4504385964912285,0.06066309823516542
931-5-21733,117,O Nata Lux,Lauridsen,Mixed Chorus,(Latin) (SATB divisi) (a cappella),5,-0.44886483831458857,1.4901709401709404,0.040249781447751265
935-3-29549,115,Johnny Said No!,Singh,Treble Chorus,(SSA) (a cappella),3,-0.18741895018267352,1.344782608695652,0.0314473700569281
931-3-21205,115,Chi la Gagliarda,Donato,Mixed Chorus,(Italian) (1 verse) (w/ or w/o accomp) (a cappella),3,-0.45932919996228017,1.3445217391304345,0.1970064319895749
935-1-22568,114,Who Can Sail?,Julseth,Treble Chorus,(SA) (accomp),1,-0.35713242286391345,1.692894736842106,-0.18553420546807667
935-3-28784,114,The Stuttering Lovers,Anon. or Trad.,Treble Chorus,"(SA) (piano, clarinet; clarinet can be substituted for sop sax, flute, vln or oboe) (accomp)",3,-0.36890915651203504,1.4001754385964922,0.07840152234946617
931-2-27493,113,Gloria,Poorman,Mixed Chorus,(descant required) (accomp),2,-0.4989621163752542,1.5547272727272727,0.0046997658711304706
935-3-22769,110,S'vivon,Anon. or Trad.,Treble Chorus,(2 part w/ 4 part canon) (a cappella),3,-0.4080146808166967,1.4241818181818187,0.07561810738740364
933-2-27734,109,The Chariot Spiritual,Anon. or Trad.,Tenor-Bass Chorus,"[T(T)B(B), opt descant] (accomp)",2,-0.3378472784697719,1.446330275229358,0.03519923596580451
935-2-33306,108,Poor Wayfaring Stranger,Jones,Treble Chorus,(SSA)(accomp or accapella),2,-0.19990605214171597,1.373055555555556,0.009356915380163325
933-1-32001,107,Lil' Liza Jane,De Lachau,Tenor-Bass Chorus,(TB) (accomp),1,-0.2055524166608138,1.5322429906542052,-0.14441588945603284
931-5-29373,107,Sleep,Whitacre,Mixed Chorus,(SATB div) (a cappella),5,-0.39108535848497117,1.3862616822429905,0.09022316921787582
935-1-29471,106,Song of the River,Anon. or Trad.,Treble Chorus,(unison) (accomp),1,-0.09203565853005813,1.5283962264150945,-0.18376421015259278
931-2-21101,106,Adoramus Te,Crocker,Mixed Chorus,(3 part mixed) (accomp),2,-0.3773760593302562,1.4586792452830188,0.017395426136249538
933-2-33211,105,Lacrimosa Menuet,Jones,Tenor-Bass Chorus,(TB opt divisi) (accomp),2,-0.1684729501091169,1.3934285714285717,-0.014892295871080211
931-2-27482,103,"Come, Celebrate with Joyful Pleasure",Arcadelt,Mixed Chorus,"(SAB) (a cappella, hand drum) (a cappella)",2,-0.4611739672329487,1.656796116504854,-0.11342683134622303
935-3-30847,103,"For Now, I Know",Goodin,Treble Chorus,"(SSA)(piano, flt [flt not opt]) (accomp)",3,-0.3939910640137636,1.384854368932039,0.09638509886366599
931-2-27489,101,The Water Is Wide,Anon. or Trad.,Mixed Chorus,"(SAB) (opt flute, oboe, clarinet, synthesizer, guitar, bass & percussion) (accomp)",2,-0.36354923174170684,1.6996039603960402,-0.22314249958747864
931-4-30798,101,If Music Be the Food of Love,Miller,Mixed Chorus,"(SAB) (piano, flt or vln [not opt]) (accomp)",4,-0.3191704134862341,1.5145544554455446,-0.07393265990135678
931-1-21006,101,Shoshone Love Song,Emerson,Mixed Chorus,(3 part mixed) (accomp),1,-0.06115303125241178,1.6098000000000008,-0.28370947201020463
933-5-22353,100,Ave Maria,Biebl,Tenor-Bass Chorus,(Latin) (TTB/TTBB) (a cappella),5,-0.48147717569098414,1.3565656565656568,0.19887397343819133
935-3-28777,100,"Sigh No More, Ladies",Spevacek,Treble Chorus,(SSA) (opt a cappella) (accomp),3,-0.43645884668998836,1.3722340425531916,0.1472581310822674
935-5-23196,98,"Veni, Domine",Mendelssohn,Treble Chorus,"(SSA, sop solo) (accomp)",5,-0.45406304208240233,1.3265306122448979,0.20774298153999168
933-2-33302,97,Dies Irae,Jones,Tenor-Bass Chorus,(TTB) (accomp),2,-0.17156573740994907,1.2577319587628866,0.12349889785149838
935-1-22504,97,"Haste Thee, Nymph",Arnold,Treble Chorus,(SA)(a cappella or accomp) (a cappella),1,-0.3998540557598931,1.556494845360825,-0.07071654356606348
935-1-27825,97,Let Me Fly,Anon. or Trad.,Treble Chorus,(SA divisi) (accomp),1,-0.14770294343803547,1.463608247422681,-0.09401163183465147
933-3-22139,95,Go Down Moses,Anon. or Trad.,Tenor-Bass Chorus,(TBB) (accomp),3,-0.2972795928135601,1.2106315789473685,0.23393098769576337
931-2-21044,94,Je le vous dirai!,Certon,Mixed Chorus,(French) (a cappella),2,-0.3160229518005424,1.406263736263736,0.0755151659896142
935-4-22931,94,Wolcum Yole,Britten,Treble Chorus,(also pub separately) (accomp),4,-0.45932845339865813,1.3758510638297874,0.16129790686361836
935-4-22961,93,Te Quiero,Favero,Treble Chorus,(Spanish) (SSA w/ sop solo) (a cappella),4,-0.4572874054516449,1.3472043010752686,0.19293419350679072
931-2-29432,93,Kyrie,Poorman,Mixed Chorus,(3 part mixed)(2005 version) (accomp),2,-0.4141147204324691,1.634193548387097,-0.12379996423891189
931-5-21852,93,"Ecco, Quel Fiero Istante",Mozart,Mixed Chorus,(Italian) (SAB) (3 clarinets) (accomp),5,-0.43444037211880815,1.6304301075268817,-0.10761383001314512
935-4-22786,92,Mbiri kuna Mwari,Kesselman,Treble Chorus,(Shona) (SSAA) (percussion) (a cappella),4,-0.47936226431130935,1.4019565217391303,0.1449979812226998
933-4-22286,92,Advent Carol,Pfautsch,Tenor-Bass Chorus,(TTBB w/ tenor solo) (a cappella),4,-0.4653629808131672,1.365357142857143,0.15947101886772486
931-4-29305,91,O Vos Omnes,Croce,Mixed Chorus,(SATB) (a cappella),4,-0.47594845721206,1.618791208791209,-0.06169468631275017
935-1-27830,90,Dona Nobis Pacem and Miserere Nobis,Schram,Treble Chorus,"(SA, opt divisi) (sing one) (a cappella)",1,-0.34384034941774777,1.707222222222222,-0.24793938513955685
935-3-31083,90,She Sings,Bernon,Treble Chorus,(SSA) (accomp),3,-0.19615673429935332,1.2665555555555554,0.11603697026559864
