UNIVERSITY INTERSCHOLASTIC LEAGUE
OFFICIAL CONCERT & SIGHTREADING CONTEST RESULTS
"Contest Date","Event","Region","School","TEA Code","City","Director","Additional Director","Accompanist","Conference","Classification","Non-Varsity Group","Entry Number","Title 1","Composer 1","Title 2","Composer 2","Title 3","Composer 3","Concert Judge","Concert Judge","Concert Judge","Concert Score 1","Concert Score 2","Concert Score 3","Concert Final Score","Sight Reading Judge","Sight Reading Judge","Sight Reading Judge","Sight Reading Score 1","Sight Reading Score 2","Sight Reading Score 3","Sight Reading Final Score","Award"
"04/02/2008","931-Mixed Chorus","19","Atascocita High School","","Humble","Joseph Weir","","","AAAAA","Varsity","","39511","At the Round Earth's Imagined Corners (SAATTBB)","Spencer","The Cloths Of Heaven ","Stroope","Zum Gali (Dance the Hora!)  (SATB divisi)","Anon. or Trad./Goldman  ","Dennis Boyter/Dianne Brumley","Jo Scurlock Dillard","Michael Ware","1","1","1","1","Woody Christman","Barbara Dardeau","Randy Jordan","1","1","1","1","A"
"04/02/2008","931-Mixed Chorus","19","Barbers Hill","","Mont Belvieu","Sandy Pentecost","","","AAAA","Varsity","","38248","With a Voice of Singing (SATB)","Shaw","Ubi Caritas","Gjeilo","Erev shel shoshanim (Hebrew)","Anon. or Trad./Klebanow   ","Dennis Boyter/Dianne Brumley","Jo Scurlock Dillard","Michael Ware","2","2","1","2","Woody Christman","Barbara Dardeau","Randy Jordan","1","1","1","1","1"
"04/02/2008","931-Mixed Chorus","19","Carver Magnet High School","","Houston","Jean O'Neal","","","AAAAA","Varsity","","39961","Se Lontan  Ben Mio  Tu Sei (Italian) (SAB) (3 clarinets)","Mozart","Merrily We Live (SAB)","Este/Razey  ","Gloria Allelu","Jay Althouse","Dennis Boyter/Dianne Brumley","Jo Scurlock Dillard","Michael Ware","DNA","DNA","DNA","DNA","Woody Christman","Barbara Dardeau","Randy Jordan","DNA","DNA","DNA","DNA",""
"04/02/2008","931-Mixed Chorus","19","Channelview High School","","Channelview","Antonio V. DeSoto","","","AAAAA","Varsity","","40561","Ave Verum Corpus (Latin)","Mozart/Jones  ","Sanctus (from Requiem in c minor) (Latin)","Cherubini/Craig/Mason/Liebergen","The Irish Blessing","Eilers","Dennis Boyter/Dianne Brumley","Jo Scurlock Dillard","Michael Ware","4","4","4","4","Woody Christman","Barbara Dardeau","Randy Jordan","5","4","5","5",""
"04/02/2008","931-Mixed Chorus","19","Deer Park High School","","Deer Park","Stacy Nissen","","","AAAAA","Non-Varsity","A","38856","A Festive Call to Praise","Martin","Sing We and Chant It (SSATB)","Morley","Steal Away (SATB)","Anon. or Trad./Schram  ","Dennis Boyter/Dianne Brumley","Jo Scurlock Dillard","Michael Ware","1","1","1","1","Woody Christman","Barbara Dardeau","Randy Jordan","1","1","1","1","C"
"04/02/2008","931-Mixed Chorus","19","Deer Park High School-South","","Deer Park","Barry Talley","","","AAAAA","Varsity","","37705","At the Round Earth's Imagined Corners (SAATTBB)","Spencer","O MY Luve's Like a Red  Red Rose","Clausen","Zum Gali (Dance the Hora!)  (SATB divisi)","Anon. or Trad./Goldman  ","Dennis Boyter/Dianne Brumley","Jo Scurlock Dillard","Michael Ware","1","1","1","1","Woody Christman","Barbara Dardeau","Randy Jordan","1","1","1","1","A"
"04/02/2008","931-Mixed Chorus","19","Dobie High School","","Houston","Wendy Gilbreath","","","AAAAA","Varsity","","37016","Alles hat seine Zeit (German) ","Haydn","Sing Me to Heaven","Gawthrop","Do Not Stand at My Grave and Weep","Farnell","Dennis Boyter/Dianne Brumley","Jo Scurlock Dillard","Michael Ware","1","1","1","1","Woody Christman","Barbara Dardeau","Randy Jordan","2","1","2","2","1"
"04/02/2008","931-Mixed Chorus","19","Eisenhower High School","","Houston","Sandra Walker","","","AAAAA","Varsity","","39895","Il Ballerino (Italian) (SSB)","Gastoldi","Sing Me to Heaven ","Gawthrop ","Over the Sea to Skye (SATB)","Anon. or Trad./Robinson  ","Dennis Boyter/Dianne Brumley","Jo Scurlock Dillard","Michael Ware","2","2","1","2","Woody Christman","Barbara Dardeau","Randy Jordan","4","3","3","3",""
"04/02/2008","931-Mixed Chorus","19","Galena Park HS","","Galena Park","Daniel R Ponce","","","AAAA","Varsity","","40251","O occhi manza mia (Italian)","di Lasso/Klein","Set Me As A Seal (from a new Creation) (SATB divisi)","Clausen","Cantate Domino","Brunner","Dennis Boyter/Dianne Brumley","Jo Scurlock Dillard","Michael Ware","2","1","1","1","Woody Christman","Barbara Dardeau","Randy Jordan","2","1","1","1","A"
"04/02/2008","931-Mixed Chorus","19","Humble High School","","Humble","Ben Fahnders","","","AAAAA","Varsity","","40206","Requiem Aeternam (from Mass in c minor) (Latin)","Cherubini/Craig/Mason","My Dancing Day ","Anon. or Trad./Shaw/Parker  ","Jubilate Deo","Althouse","Dennis Boyter/Dianne Brumley","Jo Scurlock Dillard","Michael Ware","2","2","2","2","Woody Christman","Barbara Dardeau","Randy Jordan","2","2","2","2",""
"04/02/2008","931-Mixed Chorus","19","Kingwood HS","","Kingwood","Keith Dixon and Jason Watt","","","AAAAA","Varsity","","39743","Regina Coeli (Latin) (keyboard or orchestra)","Mozart","Sicut cervus/Sitivit anima mea (Latin) (sing one)","Palestrina/Young  ","(Third not required)","","Dennis Boyter/Dianne Brumley","Jo Scurlock Dillard","Michael Ware","1","1","1","1","Woody Christman","Barbara Dardeau","Randy Jordan","1","1","1","1","A"
"04/02/2008","931-Mixed Chorus","19","MacArthur High School","","Houston","Micah Schirado","","","AAAAA","Varsity","","39992","Salmo 150 ","Aguiar","Ave Verum (Latin) (keyboard; strings opt)","Mozart/Collins  ","True Light","Keith Hampton","Dennis Boyter/Dianne Brumley","Jo Scurlock Dillard","Michael Ware","3","3","2","3","Woody Christman","Barbara Dardeau","Randy Jordan","4","4","5","4",""
"04/02/2008","931-Mixed Chorus","19","Nimitz High School","","Houston","Dana Gibson / Lori Elliott ","","","AAAAA","Varsity","","37821","Ave Verum Corpus (Latin)","Mozart/Jones  ","Be Thou My Vision (piano & horn)","Anon. or Trad./Basler","Jan Waselu","Leontovich","Dennis Boyter/Dianne Brumley","Jo Scurlock Dillard","Michael Ware","2","2","1","2","Woody Christman","Barbara Dardeau","Randy Jordan","1","1","1","1","1"
"04/02/2008","931-Mixed Chorus","19","North Shore Sr HS","","Houston","Enrique Collazo","","","AAAAA","Varsity","","39962","Ave Verum Corpus (Latin)","Byrd/Greenberg  ","Hosanna (SATB divisi)","Clausen","Prelude to Peace","Stroope","Dennis Boyter/Dianne Brumley","Jo Scurlock Dillard","Michael Ware","1","2","2","2","Woody Christman","Barbara Dardeau","Randy Jordan","1","1","1","1","1"
"04/02/2008","931-Mixed Chorus","19","Pasadena High School","","Pasadena","Kathy Stagg Wright","","","AAAAA","Varsity","","37646","Ave Maria (Latin)","Victoria/Herder  ","Sanctus in d minor (two vln  vla  & continuo)","Bach/Hunt","Come Again  Sweet Love","John Dowland","Dennis Boyter/Dianne Brumley","Jo Scurlock Dillard","Michael Ware","3","3","3","3","Woody Christman","Barbara Dardeau","Randy Jordan","4","4","4","4",""
